id,name,county,number,type
168,Mounds View Public School District,62,621,1
169,North St. Paul-Maplewood Oakdale,62,622,1
170,Roseville Public School District,62,623,1
171,White Bear Lake School District,62,624,1
172,St. Paul Public School District,62,625,1
173,Red Lake Falls Public School Dist.,63,630,1
174,Wabasso Public School District,64,640,1
175,Faribault Public School District,66,656,1
176,Northfield Public School District,66,659,1
177,Hills-Beaver Creek School District,67,671,1
178,Badger Public School District,68,676,1
179,Roseau Public School District,68,682,1
180,Warroad Public School District,68,690,1
181,Chisholm Public School District,69,695,1
182,Ely Public School District,69,696,1
183,Floodwood Public School District,69,698,1
184,Hermantown Public School District,69,700,1
185,Hibbing Public School District,69,701,1
186,Proctor Public School District,69,704,1
187,Virginia Public School District,69,706,1
188,Duluth Public School District,69,709,1
189,Mountain Iron-Buhl School District,69,712,1
190,Belle Plaine Public School District,70,716,1
191,Jordan Public School District,70,717,1
192,Prior Lake-Savage Area Schools,70,719,1
193,Shakopee Public School District,70,720,1
194,New Prague Area Schools,70,721,1
195,Becker Public School District,71,726,1
196,Big Lake Public School District,71,727,1
197,Elk River School District,71,728,1
198,Holdingford Public School District,73,738,1
199,Kimball Public School District,73,739,1
200,Melrose Public School District,73,740,1
201,Paynesville Public School District,73,741,1
202,St. Cloud Public School District,73,742,1
203,Sauk Centre Public School District,73,743,1
204,Albany Public School District,73,745,1
205,Sartell-St. Stephen School District,73,748,1
206,Rocori Public School District,73,750,1
207,Blooming Prairie Public School Dist,74,756,1
208,Owatonna Public School District,74,761,1
209,Medford Public School District,74,763,1
210,Hancock Public School District,75,768,1
211,Chokio-Alberta Public School Dist.,75,771,1
212,Kerkhoven-Murdock-Sunburg,76,775,1
213,Benson Public School District,76,777,1
214,Bertha-Hewitt Public School Dist.,77,786,1
215,Browerville Public School District,77,787,1
216,Browns Valley Public School Dist,78,801,1
217,Wheaton Area Public School District,78,803,1
218,Wabasha-Kellogg Public School Dist.,79,811,1
219,Lake City Public School District,79,813,1
220,Verndale Public School District,80,818,1
221,Sebeka Public School District,80,820,1
222,Menahga Public School District,80,821,1
223,Waseca Public School District,81,829,1
224,Forest Lake Public School District,82,831,1
225,Mahtomedi Public School District,82,832,1
226,South Washington County School Dist,82,833,1
227,Stillwater Area Public School Dist.,82,834,1
228,Butterfield Public School District,83,836,1
229,Madelia Public School District,83,837,1
230,St. James Public School District,83,840,1
231,Breckenridge Public School District,84,846,1
232,Rothsay Public School District,84,850,1
233,Lewiston-Altura Public School Dist,85,857,1
234,St. Charles Public School District,85,858,1
235,Winona Area Public School District,85,861,1
236,Annandale Public School District,86,876,1
237,Buffalo-Hanover-Montrose Public Sch,86,877,1
238,Delano Public School District,86,879,1
239,Maple Lake Public School District,86,881,1
240,Monticello Public School District,86,882,1
241,Rockford Public School District,86,883,1
242,St. Michael-Albertville School Dist,86,885,1
243,Canby Public School District,87,891,1
244,Cambridge-Isanti Public School Dist,30,911,1
245,Milaca Public School District,48,912,1
246,Ulen-Hitterdal Public School Dist,14,914,1
247,Lake Crystal-Wellcome Memorial,7,2071,1
248,Triton School District,20,2125,1
249,United South Central School Dist.,22,2134,1
250,Maple River School District,7,2135,1
251,Kingsland Public School District,23,2137,1
252,St. Louis County School District,69,2142,1
253,Waterville-Elysian-Morristown,40,2143,1
254,Chisago Lakes School District,13,2144,1
255,Minnewaska School District,61,2149,1
256,Eveleth-Gilbert School District,69,2154,1
257,Wadena-Deer Creek School District,80,2155,1
258,Buffalo Lk-Hector-Stewart Public Sc,65,2159,1
259,Dilworth-Glyndon-Felton,14,2164,1
260,Hinckley-Finlayson School District,58,2165,1
261,Lakeview School District,42,2167,1
262,Nrheg School District,81,2168,1
263,Murray County Central School Dist.,51,2169,1
264,Staples-Motley School District,77,2170,1
265,Kittson Central School District,35,2171,1
266,Kenyon-Wanamingo School District,25,2172,1
267,Pine River-Backus School District,11,2174,1
268,Warren-Alvarado-Oslo School Dist.,45,2176,1
269,Maccray School District,12,2180,1
270,Luverne Public School District,67,2184,1
271,Yellow Medicine East,87,2190,1
272,Fillmore Central,23,2198,1
273,Norman County East School District,54,2215,1
274,Sibley East School District,72,2310,1
275,Clearbrook-Gonvick School District,15,2311,1
276,West Central Area,26,2342,1
277,Tri-County School District,35,2358,1
278,Belgrade-Brooten-Elrosa School Dist,73,2364,1
279,G.F.W.,72,2365,1
280,A.C.G.C. Public School District,47,2396,1
281,Le Sueur-Henderson School District,40,2397,1
282,Martin County West School District,46,2448,1
283,Bird Island-Olivia-Lake Lillian,65,2534,1
284,Granada Huntley East Chain,46,2536,1
285,Win-E-Mac School District,60,2609,1
286,Greenbush-Middle River School Dist.,68,2683,1
287,Howard Lake-Waverly-Winsted,86,2687,1
288,Pipestone Area School District,59,2689,1
289,Mesabi East School District,69,2711,1
290,Fairmont Area School District,46,2752,1
291,Long Prairie-Grey Eagle School Dist,77,2753,1
292,Cedar Mountain School District,64,2754,1
293,Morris Area Public Schools,75,2769,1
294,Zumbrota-Mazeppa School District,79,2805,1
295,Janesville-Waldorf-Pemberton,81,2835,1
296,Lac Qui Parle Valley School Dist.,37,2853,1
297,Glencoe-Silver Lake School District,43,2859,1
298,Blue Earth Area Public School,22,2860,1
299,Red Rock Central School District,17,2884,1
300,Glenville-Emmons School District,24,2886,1
301,Lake Park Audubon School District,3,2889,1
302,Renville County West School Dist.,65,2890,1
303,Jackson County Central School Dist.,32,2895,1
304,Redwood Area School District,64,2897,1
305,Westbrook-Walnut Grove Schools,17,2898,1
306,Plainview-Elgin-Millville,79,2899,1
307,Rtr Public Schools,41,2902,1
308,Ortonville Public Schools,6,2903,1
309,Tracy Area Public School District,42,2904,1
310,Tri-City United School District,40,2905,1
311,Red Lake County Central Public Sch,63,2906,1
312,Brandon-Evansville Public Schools,21,2908,1
313,Minneapolis Public School District,27,1,3
314,South St. Paul Public School Dist,19,6,3
488,Campbell-Tintah Public School Dist.,84,852,1
489,Norman County West School District,54,2527,1
490,East Central School District,58,2580,1
491,Lake Benton Public School District,41,404,1
492,Ellsworth Public School District,53,514,1
493,Nett Lake Public School District,69,707,1
494,Campbell-Tintah Public School Dist.,84,852,1
495,East Central School District,58,2580,1
496,Clinton-Graceville-Beardsley,6,2888,1
497,Pine Point Public School District,3,25,1
498,Hendricks Public School District,41,402,1
499,Ivanhoe Public School District,41,403,1
500,Milroy Public School District,64,635,1
501,Eagle Valley Public School District,77,2759,1
502,Ada-Borup Public School District,54,2854,1
503,Round Lake-Brewster Public Schools,53,2907,1
504,United South Central School Dist.,22,2134,1
